coin_parse,coin_time,coin_value,update_time
BNB,2017-07-25,0.105870001,2022-03-26
BNB,2017-07-26,0.1051379964,2022-03-26
BNB,2017-07-27,0.1077369973,2022-03-26
BNB,2017-07-28,0.1040669978,2022-03-26
BNB,2017-07-29,0.1078109965,2022-03-26
BNB,2017-07-30,0.1064139977,2022-03-26
BNB,2017-07-31,0.1042499989,2022-03-26
BNB,2017-08-01,0.0998668,2022-03-26
BNB,2017-08-02,0.1004519984,2022-03-26
BNB,2017-08-03,0.1066420004,2022-03-26
BNB,2017-08-04,0.1074939966,2022-03-26
BNB,2017-08-05,0.1288709939,2022-03-26
BNB,2017-08-06,0.1309989989,2022-03-26
BNB,2017-08-07,0.1488479972,2022-03-26
BNB,2017-08-08,0.2244209945,2022-03-26
BNB,2017-08-09,0.2429119945,2022-03-26
BNB,2017-08-10,0.3490790129,2022-03-26
BNB,2017-08-11,0.3925719857,2022-03-26
BNB,2017-08-12,0.4463649988,2022-03-26
BNB,2017-08-13,0.8768280149,2022-03-26
BNB,2017-08-14,1.2955700159,2022-03-26
BNB,2017-08-15,1.0565500259,2022-03-26
BNB,2017-08-16,1.4372400045,2022-03-26
BNB,2017-08-17,1.9671499729,2022-03-26
BNB,2017-08-18,2.3840000629,2022-03-26
BNB,2017-08-19,2.0933699608,2022-03-26
BNB,2017-08-20,2.5025799274,2022-03-26
BNB,2017-08-21,2.7011098862,2022-03-26
BNB,2017-08-22,2.4852700233,2022-03-26
BNB,2017-08-23,2.5804300308,2022-03-26
BNB,2017-08-24,2.3793199062,2022-03-26
BNB,2017-08-25,2.4968700409,2022-03-26
BNB,2017-08-26,2.1693599224,2022-03-26
BNB,2017-08-27,2.0051898956,2022-03-26
BNB,2017-08-28,2.0429000854,2022-03-26
BNB,2017-08-29,2.3275799751,2022-03-26
BNB,2017-08-30,2.3500499725,2022-03-26
BNB,2017-08-31,2.2037899494,2022-03-26
BNB,2017-09-01,2.3841700554,2022-03-26
BNB,2017-09-02,1.9926799536,2022-03-26
BNB,2017-09-03,1.575799942,2022-03-26
BNB,2017-09-04,1.0495699644,2022-03-26
BNB,2017-09-05,0.9737160206,2022-03-26
BNB,2017-09-06,1.0861400366,2022-03-26
BNB,2017-09-07,1.3662199974,2022-03-26
BNB,2017-09-08,1.006829977,2022-03-26
BNB,2017-09-09,0.9893010259,2022-03-26
BNB,2017-09-10,0.9421589971,2022-03-26
BNB,2017-09-11,1.0258100033,2022-03-26
BNB,2017-09-12,1.0356800556,2022-03-26
BNB,2017-09-13,0.9372040033,2022-03-26
BNB,2017-09-14,0.6787840128,2022-03-26
BNB,2017-09-15,0.799709022,2022-03-26
BNB,2017-09-16,0.8041980267,2022-03-26
BNB,2017-09-17,0.7895889878,2022-03-26
BNB,2017-09-18,0.9092019796,2022-03-26
BNB,2017-09-19,0.8024250269,2022-03-26
BNB,2017-09-20,0.7478899956,2022-03-26
BNB,2017-09-21,0.7021399736,2022-03-26
BNB,2017-09-22,0.7158929706,2022-03-26
BNB,2017-09-23,0.7709649801,2022-03-26
BNB,2017-09-24,0.7832679749,2022-03-26
BNB,2017-09-25,0.9170590043,2022-03-26
BNB,2017-09-26,0.8607469797,2022-03-26
BNB,2017-09-27,1.1436599493,2022-03-26
BNB,2017-09-28,1.3778799772,2022-03-26
BNB,2017-09-29,1.2662400007,2022-03-26
BNB,2017-09-30,1.2835799456,2022-03-26
BNB,2017-10-01,1.5265300274,2022-03-26
BNB,2017-10-02,1.9646699429,2022-03-26
BNB,2017-10-03,1.8207000494,2022-03-26
BNB,2017-10-04,1.6014800072,2022-03-26
BNB,2017-10-05,1.6784900427,2022-03-26
BNB,2017-10-06,1.5799100399,2022-03-26
BNB,2017-10-07,1.5842499733,2022-03-26
BNB,2017-10-08,1.2172299623,2022-03-26
BNB,2017-10-09,1.4037799835,2022-03-26
BNB,2017-10-10,1.3933600187,2022-03-26
BNB,2017-10-11,1.4337300062,2022-03-26
BNB,2017-10-12,1.3437600136,2022-03-26
BNB,2017-10-13,1.4354799986,2022-03-26
BNB,2017-10-14,1.5381900072,2022-03-26
BNB,2017-10-15,1.55843997,2022-03-26
BNB,2017-10-16,1.4407000542,2022-03-26
BNB,2017-10-17,1.389950037,2022-03-26
BNB,2017-10-18,1.327559948,2022-03-26
BNB,2017-10-19,1.284610033,2022-03-26
BNB,2017-10-20,1.2419199944,2022-03-26
BNB,2017-10-21,1.2540500164,2022-03-26
BNB,2017-10-22,1.2137700319,2022-03-26
BNB,2017-10-23,1.1837300062,2022-03-26
BNB,2017-10-24,1.2484300137,2022-03-26
BNB,2017-10-25,1.2527799606,2022-03-26
BNB,2017-10-26,1.2086000443,2022-03-26
BNB,2017-10-27,1.1741800308,2022-03-26
BNB,2017-10-28,1.1525700092,2022-03-26
BNB,2017-10-29,1.241230011,2022-03-26
BNB,2017-10-30,1.3122700453,2022-03-26
BNB,2017-10-31,1.3128900528,2022-03-26
BNB,2017-11-01,1.2615400553,2022-03-26
BNB,2017-11-02,1.2996300459,2022-03-26
BNB,2017-11-03,1.4592200518,2022-03-26
BNB,2017-11-04,1.6371999979,2022-03-26
BNB,2017-11-05,1.5216599703,2022-03-26
BNB,2017-11-06,1.5697900057,2022-03-26
BNB,2017-11-07,1.8064399958,2022-03-26
BNB,2017-11-08,2.0310199261,2022-03-26
BNB,2017-11-09,1.9907699823,2022-03-26
BNB,2017-11-10,1.7968399525,2022-03-26
BNB,2017-11-11,1.6704699993,2022-03-26
BNB,2017-11-12,1.5196900368,2022-03-26
BNB,2017-11-13,1.686619997,2022-03-26
BNB,2017-11-14,1.5925799608,2022-03-26
BNB,2017-11-15,1.5304499865,2022-03-26
BNB,2017-11-16,1.57791996,2022-03-26
BNB,2017-11-17,1.5103600025,2022-03-26
BNB,2017-11-18,1.6743299961,2022-03-26
BNB,2017-11-19,1.6137700081,2022-03-26
BNB,2017-11-20,1.6244499683,2022-03-26
BNB,2017-11-21,1.5740599632,2022-03-26
BNB,2017-11-22,1.6117500067,2022-03-26
BNB,2017-11-23,1.548699975,2022-03-26
BNB,2017-11-24,1.7177100182,2022-03-26
BNB,2017-11-25,1.8738700151,2022-03-26
BNB,2017-11-26,1.8531299829,2022-03-26
BNB,2017-11-27,1.942980051,2022-03-26
BNB,2017-11-28,1.9171099663,2022-03-26
BNB,2017-11-29,1.7515300512,2022-03-26
BNB,2017-11-30,1.9969700575,2022-03-26
BNB,2017-12-01,2.0702300072,2022-03-26
BNB,2017-12-02,2.0841600895,2022-03-26
BNB,2017-12-03,2.2272500992,2022-03-26
BNB,2017-12-04,2.4916799068,2022-03-26
BNB,2017-12-05,2.5952999592,2022-03-26
BNB,2017-12-06,2.587690115,2022-03-26
BNB,2017-12-07,2.7799499035,2022-03-26
BNB,2017-12-08,2.8306701183,2022-03-26
BNB,2017-12-09,2.6104300022,2022-03-26
BNB,2017-12-10,2.4833700657,2022-03-26
BNB,2017-12-11,2.7066500187,2022-03-26
BNB,2017-12-12,2.6847500801,2022-03-26
BNB,2017-12-13,2.7781000137,2022-03-26
BNB,2017-12-14,3.1587400436,2022-03-26
BNB,2017-12-15,3.9961500168,2022-03-26
BNB,2017-12-16,4.6646499634,2022-03-26
BNB,2017-12-17,5.7567200661,2022-03-26
BNB,2017-12-18,5.6158499718,2022-03-26
BNB,2017-12-19,5.7923297882,2022-03-26
BNB,2017-12-20,5.1762099266,2022-03-26
BNB,2017-12-21,5.1800098419,2022-03-26
BNB,2017-12-22,4.3361501694,2022-03-26
BNB,2017-12-23,4.8392601013,2022-03-26
BNB,2017-12-24,5.2856798172,2022-03-26
BNB,2017-12-25,6.5600099564,2022-03-26
BNB,2017-12-26,9.029419899,2022-03-26
BNB,2017-12-27,10.107000351,2022-03-26
BNB,2017-12-28,9.3214101791,2022-03-26
BNB,2017-12-29,8.8076000214,2022-03-26
BNB,2017-12-30,7.8410100937,2022-03-26
BNB,2017-12-31,8.6355800629,2022-03-26
BNB,2018-01-01,8.4146099091,2022-03-26
BNB,2018-01-02,8.837770462,2022-03-26
BNB,2018-01-03,9.5358800888,2022-03-26
BNB,2018-01-04,9.2139902115,2022-03-26
BNB,2018-01-05,14.9172000885,2022-03-26
BNB,2018-01-06,22.7597999573,2022-03-26
BNB,2018-01-07,18.6567993164,2022-03-26
BNB,2018-01-08,18.2609004974,2022-03-26
BNB,2018-01-09,17.4118003845,2022-03-26
BNB,2018-01-10,17.3908004761,2022-03-26
BNB,2018-01-11,21.0426998138,2022-03-26
BNB,2018-01-12,22.3162994385,2022-03-26
BNB,2018-01-13,22.1744003296,2022-03-26
BNB,2018-01-14,20.777299881,2022-03-26
BNB,2018-01-15,19.564699173,2022-03-26
BNB,2018-01-16,13.8919000626,2022-03-26
BNB,2018-01-17,14.2032003403,2022-03-26
BNB,2018-01-18,14.2804002762,2022-03-26
BNB,2018-01-19,14.9406003952,2022-03-26
BNB,2018-01-20,16.1902999878,2022-03-26
BNB,2018-01-21,14.0683002472,2022-03-26
BNB,2018-01-22,13.0145998001,2022-03-26
BNB,2018-01-23,13.0935001373,2022-03-26
BNB,2018-01-24,13.6287002563,2022-03-26
BNB,2018-01-25,13.2284002304,2022-03-26
BNB,2018-01-26,13.2181997299,2022-03-26
BNB,2018-01-27,13.2530002594,2022-03-26
BNB,2018-01-28,13.5402002335,2022-03-26
BNB,2018-01-29,12.7644996643,2022-03-26
BNB,2018-01-30,11.2506999969,2022-03-26
BNB,2018-01-31,11.1450004578,2022-03-26
BNB,2018-02-01,9.5158395767,2022-03-26
BNB,2018-02-02,9.6522903442,2022-03-26
BNB,2018-02-03,9.7496795654,2022-03-26
BNB,2018-02-04,8.4586400986,2022-03-26
BNB,2018-02-05,6.7050299644,2022-03-26
